,PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,first_name,Mr,second_name
0,1,3,1,22.0,1,0,720,7.25,0,3,100,12,855
1,2,1,0,38.0,1,0,816,71.2833,107,1,182,13,601
2,3,3,0,26.0,0,0,914,7.925,0,3,329,9,690
3,4,1,0,35.0,1,0,65,53.1,71,3,267,13,541
4,5,3,1,35.0,0,0,649,8.05,0,3,15,12,1102
5,6,3,1,29.881137667304014,0,0,373,8.4583,0,2,538,12,544
6,7,1,1,54.0,0,0,109,51.8625,164,3,500,12,1032
7,8,3,1,2.0,3,1,541,21.075,0,3,608,8,437
8,9,3,0,27.0,0,2,477,11.1333,0,3,382,13,850
9,10,2,0,14.0,1,0,174,30.0708,0,1,559,13,822
10,11,3,0,4.0,1,1,839,16.7,185,3,707,9,754
11,12,1,0,58.0,0,0,50,26.55,63,3,86,9,302
12,13,3,1,20.0,0,0,733,8.05,0,3,709,12,1102
13,14,3,1,39.0,1,5,459,31.275,0,3,21,12,89
14,15,3,0,14.0,0,0,566,7.8542,0,3,821,9,518
15,16,2,0,55.0,0,0,204,16.0,0,3,336,13,16
16,17,3,1,2.0,4,1,659,29.125,0,2,664,8,355
17,18,2,1,29.881137667304014,0,0,201,13.0,0,3,850,12,200
18,19,3,0,31.0,1,0,417,18.0,0,3,817,13,658
19,20,3,0,29.881137667304014,0,0,243,7.225,0,1,494,13,365
20,21,2,1,35.0,0,0,182,26.0,0,3,268,12,643
21,22,2,1,34.0,0,0,203,13.0,144,3,68,12,694
22,23,3,0,15.0,0,0,379,8.0292,0,2,509,9,98
23,24,1,1,28.0,0,0,54,35.5,18,3,744,12,1115
24,25,3,0,8.0,3,1,541,21.075,0,3,608,9,1035
25,26,3,0,38.0,1,5,454,31.3875,0,3,33,13,177
26,27,3,1,29.881137667304014,0,0,238,7.225,0,1,237,12,364
27,28,1,1,19.0,3,2,123,263.0,81,3,257,12,192
28,29,3,0,29.881137667304014,0,0,385,7.8792,0,2,587,9,309
29,30,3,1,29.881137667304014,0,0,499,7.8958,0,3,794,12,691
30,31,1,1,40.0,0,0,818,27.7208,0,1,810,2,741
31,32,1,0,29.881137667304014,1,0,802,146.5208,55,1,755,13,1088
32,33,3,0,29.881137667304014,0,0,397,7.75,0,2,287,9,778
33,34,2,1,66.0,0,0,751,10.5,0,3,838,12,276
34,35,1,1,28.0,1,0,820,82.1708,0,1,520,12,255
35,36,1,1,42.0,1,0,55,52.0,0,3,349,12,54
36,37,3,1,29.881137667304014,0,0,272,7.2292,0,1,485,12,450
37,38,3,1,21.0,0,0,706,8.05,0,3,124,12,336
38,39,3,0,18.0,2,0,418,18.0,0,3,817,9,139
39,40,3,0,14.0,1,0,245,11.2417,0,1,569,9,558
40,41,3,0,40.0,1,0,695,9.475,0,3,8,13,576
41,42,2,0,27.0,1,0,69,21.0,0,3,809,13,1109
42,43,3,1,29.881137667304014,0,0,536,7.8958,0,1,415,12,1002
43,44,2,0,3.0,1,2,868,41.5792,0,1,428,9,974
44,45,3,0,19.0,0,0,384,7.8792,0,2,205,9,748
45,46,3,1,29.881137667304014,0,0,840,8.05,0,3,677,12,1107
46,47,3,1,29.881137667304014,1,0,637,15.5,0,2,440,12,242
47,48,3,0,29.881137667304014,0,0,100,7.75,0,2,586,9,168
48,49,3,1,29.881137667304014,2,0,256,21.6792,0,1,706,12,1123
